Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
EWS 01.22.001,Mast 623E - T,Tumor,Sample 20,hGAPDH,18.771,0.8186575951851368,-0.2333507784901214,NM_08.22.24,,,,
,,,Sample 20,mGapdh,22.929,,,,,,,
EWS 01.22.001,Mast 623E S7,Organoids,Sample 21,hGAPDH,19.021,0.9313519071634923,-0.016630947762514794,NM_08.22.24,MAST 623E S7 (EWS) ,EWS 01.22.001,2022-07-11 00:00:00,PASSED
,,,Sample 21,mGapdh,20.423,,,,,,,
EWS 01.22.002,Mast 623E T,Tumor,Sample 6,hGAPDH,17.446,0.78082621,-0.306,NM_8.22.51,,,,
 ,,,Sample 6,mGapdh,22.343, , ,,,,,
EWS 01.22.002,Mast 623E S7,Organoids,Sample 7,hGAPDH,17.204,0.784818211,-0.298,NM_8.22.51,,,,
 ,,,Sample 7,mGapdh,21.921, , ,,,,,
EWS 01.22.002,Mast 623E P1,Cells,Sample 8,hGAPDH,18.215,0.829575989,-0.212,NM_8.22.51,MAST 623E p1 (EWS),EWS 01.22.002,2022-11-28 00:00:00,PASSED
 ,,,Sample 8,mGapdh,21.957, , ,,,,,
EWS 01.22.003,Mast 623F T,Tumor,Sample 18,hGAPDH,19.346,0.946616431,0.013,NM_8.22.35,,,,
,,,Sample 18,mGapdh,20.437, , ,,,,,
EWS 01.22.003,Mast 623F S9,Organoids,Sample 19,hGAPDH,18.812,0.791817493,-0.285,NM_8.22.35,MAST 623F S9 (EWS),EWS 01.22.003,2022-07-11 00:00:00,PASSED
,,,Sample 19,mGapdh,23.758, , ,,,,,
EWS 01.22.003,Mast 623F P1,Cells,Sample 20,hGAPDH,18.424,0.851111008,-0.171,NM_8.22.35,,,,
,,,Sample 20,mGapdh,21.647, , ,,MAST 623F p3 (EWS) - PASSED,EWS 01.22.003,2022-10-25 00:00:00,PASSED
EWS 01.22.005,Mast 496 T,Tumor,Sample 11,hGAPDH,17.038,0.821029298,-0.229,NM_8.22.41,,,,
 ,,,Sample 11,mGapdh,20.752, , ,,,,,
EWS 01.22.005,Mast 496 S9,Organoids,Sample 12,hGAPDH,16.707,0.803414282,-0.263,NM_8.22.41,MAST 496 S7 (EWS) - PASSED,EWS 01.22.005,2022-09-21 00:00:00,PASSED
 ,,,Sample 12,mGapdh,20.795, , ,,,,,
EWS 01.22.005,Mast 496 P1,Cells,Sample 13,hGAPDH,17.232,0.826237054,-0.219,NM_8.22.41,MAST 496 p1 (EWS) - PASSED,EWS 01.22.005,2022-10-25 00:00:00,PASSED
 ,,,Sample 13,mGapdh,20.856, , ,,MAST 496 p3 (EWS) - PASSED,EWS 01.22.005,2022-10-25 00:00:00,PASSED
EWS 01.22.005,Mast 496 S7P3T,Tumor,Sample 10,hGAPDH,18.02,0.873654611,-0.128,NM_8.22.55,,,,
 ,,,Sample 10,mGapdh,20.626, , ,,,,,
EWS 01.22.006,Mast 496 S7,Organoids,Sample 38,hGAPDH,17.022,0.8129328048139834,-0.2443599907423394,NM_08.23.20,,,,
,,,Sample 38,mGapdh,20.939,,,,,,,
EWS 01.22.006,Mast 496 P1,Cells,Sample 39,hGAPDH,16.93,0.8323909730075225,-0.20694043652399505,NM_08.23.20,MAST 496 S7 (EWS) - PASSED,EWS 01.22.006,2022-10-05 00:00:00,PASSED
,,,Sample 39,mGapdh,20.339,,,,,,,
,,,,,,,,,MAST 496 p1 (EWS) - PASSED,EWS 01.22.006,2022-10-25 00:00:00,PASSED
EWS 01.22.007,Mast 482D T,Tumor,Sample 1,hGAPDH,16.847,0.712768658,-0.437,NM_8.22.46,,,,
 ,,,Sample 1,mGapdh,23.636, , ,,,,,
EWS 01.22.007,Mast 482D S7,Organoids,Sample 2,hGAPDH,16.625,0.676996376,-0.506,NM_8.22.46,MAST 482D S7 (EWS) - PASSED,EWS 01.22.007,2022-10-05 00:00:00,PASSED
 ,,,Sample 2,mGapdh,24.557, , ,,,,,
EWS 01.22.007,Mast 482D P1,Cells,Sample 3,hGAPDH,16.543,0.64889778,-0.56,NM_8.22.46,MAST 482D p1 (EWS) - PASSED,EWS 01.22.007,10/25/222,PASSED
 ,,,Sample 3,mGapdh,25.494, , ,,,,,
EWS 01.22.007,Mast 482D S7P3T,Tumor,Sample 10,hGAPDH,16.179,0.704353505,-0.453,NM_8.22.59,,,,
 ,,,Sample 10,mGapdh,22.97, , ,,,,,
EWS 01.22.009,Mast 659D T,Tumor,Sample 4,hGAPDH,16.702,0.7109957,-0.44,NM_8.22.46,,,,
 ,,,Sample 4,mGapdh,23.491, , ,,,,,
EWS 01.22.009,Mast 659D S7,Organoids,Sample 5,hGAPDH,15.123,0.651348092,-0.555,NM_8.22.46,MAST 659D S7 (EWS) - PASSED,EWS 01.22.009,2022-10-05 00:00:00,"PASSED 
(trisomy at one locus)"
 ,,,Sample 5,mGapdh,23.218, , ,,,,,
