Experiment #,Sample Name,Type,Sample Name.1,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,NM Exp #
OST 01.21.001,Mast 152 S7 (Os3),Organoids,Sample 1,hGAPDH,38,2.337023370233702,2.686583404295581,NM_8.22.26
,,,Sample 1,mGapdh,16.26,,,NM_8.22.26
OST 01.21.001,Mast 152 S7 (Os1),Organoids,Sample 2,hGAPDH,38.252,2.3280384638792526,2.669304738229332,NM_8.22.26
,,,Sample 2,mGapdh,16.431,,,NM_8.22.26
OST 01.21.001,Mast 152 S7 (Os5),Organoids,Sample 3,hGAPDH,37.601,2.2696324017625398,2.5569853880048843,NM_8.22.26
,,,Sample 3,mGapdh,16.567,,,NM_8.22.26
OST 01.21.003,Mast 634 S7 (Os3),Organoids,Sample 4,hGAPDH,24.407,1.3683354824241745,0.823722081584951,NM_8.22.26
,,,Sample 4,mGapdh,17.837,,,NM_8.22.26
OST 01.21.003,Mast 634 S7 (Os1),Organoids,Sample 5,hGAPDH,23.519,1.2846296700895783,0.6627493655568814,NM_8.22.26
,,,Sample 5,mGapdh,18.308,,,NM_8.22.26
OST 01.21.003,Mast 634 S7 (Os5),Organoids,Sample 6,hGAPDH,21.852,1.2109725685785535,0.5211010934202953,NM_8.22.26
,,,Sample 6,mGapdh,18.045,,,NM_8.22.26
OST 01.21.006,Mast 492B S7 (Os3),Organoids,Sample 7,hGAPDH,28.414,1.3264553475561367,0.7431833606848783,NM_8.22.26
,,,Sample 7,mGapdh,21.421,,,NM_8.22.26
OST 01.21.006,Mast 492B S7 (Os1),Organoids,Sample 8,hGAPDH,29.208,1.2545852841372793,0.6049717002639988,NM_8.22.26
,,,Sample 8,mGapdh,23.281,,,NM_8.22.26
OST 01.21.006,Mast 492B S7 (Os5),Organoids,Sample 9,hGAPDH,27.278,1.2624028137726766,0.6200054111013013,NM_8.22.26
,,,Sample 9,mGapdh,21.608,,,NM_8.22.26
OST 01.21.001,Mast 152 P1 (Os3),Cells,Sample 10,hGAPDH,-,,,NM_8.22.26
,,,Sample 10,mGapdh,16.978,,,NM_8.22.26
OST 01.21.001,Mast 152 P1 (Os1),Cells,Sample 11,hGAPDH,38.667,2.20099043715847,2.4249816099201342,NM_8.22.26
,,,Sample 11,mGapdh,17.568,,,NM_8.22.26
OST 01.21.001,Mast 152 P1 (Os5),Cells,Sample 12,hGAPDH,38.689,2.259475559189394,2.5374529984411422,NM_8.22.26
,,,Sample 12,mGapdh,17.123,,,NM_8.22.26
OST 01.21.003,Mast 634 P1 (Os3),Cells,Sample 13,hGAPDH,18.304,0.9881235154394298,0.09254522199890351,NM_8.22.26
,,,Sample 13,mGapdh,18.524,,,NM_8.22.26
