Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Exp#,Sample Name_2,Ppx Submission Date,Ppx Result
OST 01.21.001,MAST 152 T,Tumor,Sample 1,hGAPDH,33.751,1.984652475596848,2.008947068455477,NM_8.22.14,,,,
OST 01.21.001,MAST 152 T,,Sample 1,mGapdh,17.006,,,,,,,
OST 01.21.001,MAST 152 S7 (OST),Organoids,Sample 2,hGAPDH,30.099,1.7785853572061694,1.6126641484734028,,,,,
OST 01.21.001,MAST 152 S7 (OST),,Sample 2,mGapdh,16.923,,,,,,,
OST 01.21.001,MAST 152 p1 (OST),Cells,Sample 3,hGAPDH,37.874,2.1811794517392307,2.3868835610369823,,,,,
OST 01.21.001,MAST 152 p1 (OST),,Sample 3,mGapdh,17.364,,,,,,,
OST 01.21.003,MAST 634 T,Tumor,Sample 4,hGAPDH,19.773,0.9552635393014154,0.02935296019502969,NM_08.22.21,,,,
OST 01.21.003,MAST 634 T,,Sample 4,mGapdh,20.699,,,,,,,
OST 01.21.003,MAST 634 S7 (OST),Organoids,Sample 5,hGAPDH,18.061,1.0451362768358314,0.2021851477612144,,OST 01.21.003,MAST 634 S7 (OS),2022-08-24,PASSED
OST 01.21.003,MAST 634 S7 (OST),,Sample 5,mGapdh,17.281,,,,,,,
OST 01.21.003,MAST 634 p1 (OST),Cells,Sample 6,hGAPDH,18.551,1.0321019250027816,0.17711908654381095,,OST 01.21.003,MAST 634 p3 (OS),2022-01-24,PASSED
OST 01.21.003,MAST 634 p1 (OST),,Sample 6,mGapdh,17.974,,,,,,,
OST 01.22.003,MAST 634 S7p3T,Tumor,Sample 39,hGAPDH,21.959,1.363235659,0.814,,,,,
OST 01.22.003,MAST 634 S7p3T,,Sample 39,mGapdh,16.108, , ,,,,,
OST 01.21.005,MAST 492B T,Tumor,Sample 7,hGAPDH,19.071,0.8377701634159199,-0.19659583958476928,,,,,
OST 01.21.005,MAST 492B T,,Sample 7,mGapdh,22.764,,,,,,,
OST 01.21.006,MAST 492B S7 (OST),Organoids,Sample 8,hGAPDH,24.474,1.2319540924192087,0.5614501777292477,,,,,
OST 01.21.006,MAST 492B S7 (OST),,Sample 8,mGapdh,19.866,,,,,,,
OST 01.22.006,MAST 492B p1 (OST),Cells,Sample 40,hGAPDH,25.486,1.626835184,1.321,,OST 01.22.006,MAST 492B p3 (OS),2022-07-11,"FAILED
Note: Previously, p3 samples have failed the test, but P3T tumors pass the test. Therefore, MJ plans to test 2D and S7P3T samples if available"
OST 01.22.006,MAST 492B p1 (OST),,Sample 40,mGapdh,15.666, , ,,,,,
,,,,,,,,,OST 01.22.007,MAST 470C p3 (OS),2022-07-11,"FAILED
Note: Previously, p3 samples have failed the test, but P3T tumors pass the test. Therefore, MJ plans to test 2D and S7P3T samples if available"
OST 01.22.009,MAST 553 T,Tumor,Sample 5,hGAPDH,19.249,0.8923141108844799,-0.09170363291446168,NM_08.22.24,,,,
OST 01.22.009,MAST 553 T,,Sample 5,mGapdh,21.572,,,,,,,
OST 01.22.009,MAST 553 S7,Organoids,Sample 6,hGAPDH,18.835,0.8571883675419835,-0.1592531393423394,,,,,
OST 01.22.009,MAST 553 S7,,Sample 6,mGapdh,21.973,,,,,,,
OST 01.22.011,MAST 470A T,Tumor,Sample 7,hGAPDH,18.067,0.8163292969455991,-0.23782827510461704,,,,,
OST 01.22.011,MAST 470A T,,Sample 7,mGapdh,22.132,,,,,,,
OST 01.22.011,MAST 470A S7 ,Organoids,Sample 8,hGAPDH,21.473,1.134277111615868,0.3736098300305156,,OST 01.22.011,MAST 470A S7 (OS),2022-08-24,PASSED
OST 01.22.011,MAST 470A S7 ,,Sample 8,mGapdh,18.931,,,,,,,
OST 01.22.011,MAST 470A p1,Cells,Sample 9,hGAPDH,21.078,1.2741340748352779,0.6425655285293805,,,,,
OST 01.22.011,MAST 470A p1,,Sample 9,mGapdh,16.543,,,,,,,
OST 01.22.013,MAST 586 T,Tumor,Sample 10,hGAPDH,18.433,0.8835258591765326,-0.10860411696820645,,,,,
OST 01.22.013,MAST 586 T,,Sample 10,mGapdh,20.863,,,,,,,
OST 01.22.015,MAST 597 T,Tumor,Sample 11,hGAPDH,17.59,0.8402598643355307,-0.19180795320090244,,OST 01.22.015,MAST 597 - T,2022-07-11,PASSED
OST 01.22.015,MAST 597 T,,Sample 11,mGapdh,20.934,,,,,,,
OST 01.22.015,MAST 597 S7,Organoids,Sample 12,hGAPDH,19.138,1.1050929668552951,0.3174864747217215,,,,,
OST 01.22.015,MAST 597 S7,,Sample 12,mGapdh,17.318,,,,,,,
OST 01.22.017,MAST 229 T,Tumor,Sample 13,hGAPDH,19.62,1.0016847909327615,0.11862459794761841,,,,,
OST 01.22.017,MAST 229 T,,Sample 13,mGapdh,19.587,,,,,,,
OST 01.22.017,MAST 229 S7,Organoids,Sample 14,hGAPDH,20.832,1.1220510610793926,0.3500981943834473,,OST 01.22.017,MAST 229 S7 (OS),2022-07-11,PASSED
OST 01.22.017,MAST 229 S7,,Sample 14,mGapdh,18.566,,,,,,,
OST 01.22.019,MAST 389 T,Tumor,Sample 15,hGAPDH,17.112,0.7781365103906143,-0.3112759415565109,,,,,
OST 01.22.019,MAST 389 T,,Sample 15,mGapdh,21.991,,,,,,,
OST 01.22.023,MAST 492A S7 OS3 (-) Dexa,Spheroids,Sample 28,hGAPDH,19.715,0.7712016898763887,-0.32461213485309853,NM_8.22.30,,,,
OST 01.22.023,MAST 492A S7 OS3 (-) Dexa,,Sample 28,mGapdh,25.564,,,,,,,
OST 01.22.023,MAST 492A S7 OS3 (+) Dexa,Spheroids,Sample 29,hGAPDH,19.611,0.7543562718775244,-0.3570071694662991,,,,,
OST 01.22.023,MAST 492A S7 OS3 (+) Dexa,,Sample 29,mGapdh,25.997,,,,,,,
OST 01.22.023,MAST 492A S7 SkOS,Spheroids,Sample 30,hGAPDH,19.96,0.8401734225701898,-0.19197418736501953,,,,,
OST 01.22.023,MAST 492A S7 SkOS,,Sample 30,mGapdh,23.757,,,,,,,
OST 01.22.012,MAST 470A T,Tumor,Sample 1,hGAPDH,18.092,0.855818354,-0.162,,,,,
OST 01.22.012,MAST 470A T,,Sample 1,mGapdh,21.14, , ,,,,,
OST 01.22.012,MAST 470A S8,Organoids,Sample 2,hGAPDH,23.402,1.350297155,0.789,,OST 01.22.012,MAST 470A S8 (OS) ,2022-07-11,PASSED
OST 01.22.012,MAST 470A S8,,Sample 2,mGapdh,17.331, , ,,,,,
OST 01.22.013,MAST 586 S7,Organoids,Sample 3,hGAPDH,19.827,1.093360538,0.295,,OST 01.22.013,MAST 586 S7 (OS),2022-07-11,PASSED
OST 01.22.013,MAST 586 S7,,Sample 3,mGapdh,18.134, , ,,,,,
OST 01.22.015,MAST 597 p1,Cells,Sample 4,hGAPDH,19.844,1.101954687,0.311,,OST 01.22.015,MAST 597 p1 (OS),2022-08-24,PASSED
OST 01.22.015,MAST 597 p1,,Sample 4,mGapdh,18.008, , ,,,,,
OST 01.22.016,MAST 597 S7,Organoids,Sample 5,hGAPDH,19.929,0.715506409,-0.432,,,,,
OST 01.22.016,MAST 597 S7,,Sample 5,mGapdh,27.853, , ,,,,,
OST 01.22.017,MAST 229 p1,Cells,Sample 6,hGAPDH,23.895,1.40807307,0.9,,,,,
OST 01.22.017,MAST 229 p1,,Sample 6,mGapdh,16.97, , ,,,,,
OST 01.22.019,MAST 389 S7,Organoids,Sample 7,hGAPDH,19.91,0.95290514,0.025,,OST 01.22.019,MAST 389 S7 (OS) ,2022-07-11,PASSED
OST 01.22.019,MAST 389 S7,,Sample 7,mGapdh,20.894, , ,,,,,
OST 01.22.020,MAST 389 T,Tumor,Sample 8,hGAPDH,17.601,0.849756192,-0.174,,,,,
OST 01.22.020,MAST 389 T,,Sample 8,mGapdh,20.713, , ,,,,,
OST 01.22.020,MAST 389 S7,Organoids,Sample 9,hGAPDH,19.211,1.051275036,0.214,,OST 01.22.020,MAST 389 S7 (OS),2022-08-24,PASSED
OST 01.22.020,MAST 389 S7,,Sample 9,mGapdh,18.274, , ,,,,,
OST 01.22.020,MAST 389 p1,Cells,Sample 10,hGAPDH,26.578,1.569783238,1.211,,,,,
OST 01.22.020,MAST 389 p1,,Sample 10,mGapdh,16.931, , ,,,,,
OST 01.22.023,MAST 492A p1 (+DEXA),Cells,Sample 11,hGAPDH,18.992,0.799932609,-0.269,,,,,
OST 01.22.023,MAST 492A p1 (+DEXA),,Sample 11,mGapdh,23.742, , ,,,,,
,,,,,,,,,OST 01.22.023,MAST 492A S7 (OS3-dexa),2022-08-24,PASSED
JDM 01.22.011,MAST 492A p1 (-DEXA) +flow,Cells,Sample 12,hGAPDH,19.483,0.602144888,-0.65,,,,,
JDM 01.22.011,MAST 492A p1 (-DEXA) +flow,,Sample 12,mGapdh,32.356, , ,,,,,
JDM 01.22.011,MAST 492A p1 (-DEXA) -flow,Cells,Sample 13,hGAPDH,22.364,1.351299094,0.791,,,,,
