Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
JDM 01.22.011,MAST 492A p1 (-DEXA) +flow,Cells,Sample 12,hGAPDH,19.483,0.602144888,-0.65,,,,,,
JDM 01.22.011,MAST 492A p1 (-DEXA) +flow,,Sample 12,mGapdh,32.356, , ,,,,,,
JDM 01.22.011,MAST 492A p1 (-DEXA) -flow,Cells,Sample 13,hGAPDH,22.364,1.351299094,0.791,,,,,,
JDM 01.22.011,MAST 492A p1 (-DEXA) -flow,,Sample 13,mGapdh,16.55, , ,,,,,,
OST 01.21.001,MAST 152 T,Tumor,Sample 1,hGAPDH,33.751,1.984652475596848,2.008947068455477,NM_8.22.14/15,BM,,,,
,,,Sample 1,mGapdh,17.006,,,,,,,,
OST 01.21.001,MAST 152 S7 (OST),Organoids,Sample 2,hGAPDH,30.099,1.7785853572061694,1.6126641484734028,NM_8.22.14/15,,MAST 152 S7 (OS),3D2D_OST_01.21.001,2022-03-16,FAILED
,,,Sample 2,mGapdh,16.923,,,,,,,,
OST 01.21.001,MAST 152 p1 (OST),Cells,Sample 3,hGAPDH,37.874,2.1811794517392307,2.3868835610369823,NM_8.22.14/15,,MAST 152 p3 (OS) - resubmission,3D2D_OST_01.21.001,2022-03-16,"FAILED
"
,,,Sample 3,mGapdh,17.364,,,,,,,,
OST 01.22.002,MAST 152 T,Tumor,Sample 14,hGAPDH,35.35,1.922553978,1.89,NM_8.22.41,,,,,
 , ,,Sample 14,mGapdh,18.387, , ,,,,,,
OST 01.22.002,MAST 152 S7,Organoids,Sample 15,hGAPDH,34.297, ,2.046,NM_8.22.41,,MAST 152 S7 (OS) - FAILED,OST 01.22.002,2022-09-21,FAILED
 , ,,Sample 15,mGapdh,17.114, , ,,,,,,
OST 01.22.002,MAST 152 p1,Cells,Sample 16,hGAPDH,36.96,2.157114509,2.341,NM_8.22.41,,,,,
 , ,,Sample 16,mGapdh,17.134, , ,,,,,,
OST 01.21.003,MAST 634 T,Tumor,Sample 4,hGAPDH,19.773,0.9552635393014154,0.02935296019502969,NM_08.22.21/22,BM,,,,
,,,Sample 4,mGapdh,20.699,,,,,,,,
OST 01.21.003,MAST 634 S7 (OST),Organoids,Sample 5,hGAPDH,18.061,1.0451362768358314,0.2021851477612144,NM_08.22.21/22,,MAST 634 S7 (OS),OST 01.21.003,2022-08-24,PASSED
,,,Sample 5,mGapdh,17.281,,,,,,,,
OST 01.21.003,MAST 634 p1 (OST),Cells,Sample 6,hGAPDH,18.551,1.0321019250027816,0.17711908654381095,NM_08.22.21/22,,MAST 634 p3 (OS),OST 01.21.003,2022-01-24,PASSED
,,,Sample 6,mGapdh,17.974,,,,,,,,
OST 01.22.003,MAST 634 S7p3T,Tumor,Sample 39,hGAPDH,21.959,1.363235659,0.814,NM_8.22.35,,,,,
,,,Sample 39,mGapdh,16.108, , ,,,,,,
OST 01.21.005,MAST 492B T,Tumor,Sample 7,hGAPDH,19.071,0.8377701634159199,-0.19659583958476928,NM_08.22.21/22,BM,,,,
,,,Sample 7,mGapdh,22.764,,,,,,,,
OST 01.21.006,MAST 492B S7 (OST),Organoids,Sample 8,hGAPDH,24.474,1.2319540924192087,0.5614501777292477,NM_08.22.21/22,,,,,
,,,Sample 8,mGapdh,19.866,,,,,,,,
