Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
RBL 01.21.001,Sjrb 158_1.2 T1,Tumor,,,,,SKIPPED,NM_8.22.20,,,,
RBL 01.21.001,Sjrb 158_1.2 S7 (Rbl),Spheroids,Sample 2,hGAPDH,18.038,0.9368929517477795,-0.005975092792731562,NM_8.22.20,,,,
,,,Sample 2,mGapdh,19.253,,,,,,,
RBL 01.21.001,Sjrb 158_1.2 P1 (Rbl),Cells,,,,,SKIPPED,NM_8.22.20,,,,
RBL 01.21.002,Sjrb 116 T0,Tumor,Sample 4,hGAPDH,18.872,1.0064529891739107,0.12779420994982835,NM_8.22.20,,,,
,,,Sample 4,mGapdh,18.751,,,,,,,
RBL 01.21.002,Sjrb 116 S7 (Rbl),Spheroids,Sample 5,hGAPDH,18.847,0.8949617740633459,-0.08661197295510399,NM_8.22.20,,,,
,,,Sample 5,mGapdh,21.059,,,,,,,
RBL 01.21.002,Sjrb 116 P1 (Rbl),Cells,,,,,SKIPPED,NM_8.22.20,,,,
RBL 01.21.002,Sjrb 116 S7P3T,Tumor,Sample 37,hGAPDH,19.224,1.058940178,0.229,NM_8.22.35,SJRB 116 S7P3T (RBL),RBL 01.21.002,2022-05-03,PASSED
,,,Sample 37,mGapdh,18.154, , ,,,,,
RBL 01.21.005,Sjrb 152 T,Tumor,Sample 7,hGAPDH,17.559,0.9182616881079385,-0.04180444594627199,NM_8.22.20,,,,
,,,Sample 7,mGapdh,19.122,,,,,,,
RBL 01.21.005,Sjrb 152 S7 (Rbl),Spheroids,Sample 8,hGAPDH,17.717,0.8242765422908718,-0.22254511097909263,NM_8.22.20,,,,
,,,Sample 8,mGapdh,21.494,,,,,,,
RBL 01.21.005,Sjrb 152 P0 (Rbl),Cells,Sample 9,hGAPDH,17.625,0.8277756904001502,-0.21581597999971106,NM_8.22.20,,,,
,,,Sample 9,mGapdh,21.292,,,,,,,
RBL 01.21.005,Sjrb 152 P1 (Rbl),Cells,Sample 10,hGAPDH,17.633,0.7897259046936582,-0.28898864481988795,NM_8.22.20,SJRB 152 p3 (RBL),RBL 01.21.005,2022-02-09,PASSED
,,,Sample 10,mGapdh,22.328,,,,,,,
,,,,,,,,,SJRB 152 S7 (RBL) - PASSED,3D2D_RBL_01.21.006,2022-03-16,PASSED
,,,,,,,,,SJRB 152 p1 (RBL) - PASSED,3D2D_RBL_01.21.006,2022-03-16,PASSED
RBL 01.22.006,Sjrb 152 P3T,Tumor,Sample 1,hGAPDH,18.029,0.9408725602755454,0.0016780005298951874,NM_08.22.24,SJRB 152 S7P3T (RBL),3D2D_RBL_01.21.006,2022-05-03,PASSED
,,,Sample 1,mGapdh,19.162,,,,,,,
RBL 01.21.007,Sjrb 153 T,Tumor,Sample 11,hGAPDH,17.674,0.9238891792995295,-0.030982347500904672,NM_8.22.20,,,,
,,,Sample 11,mGapdh,19.13,,,,,,,
RBL 01.21.007,Sjrb 153 S7 (Rbl),Spheroids,Sample 12,hGAPDH,19.176,0.8596019365250134,-0.15461166052882033,NM_8.22.20,SJRB 153 S7 (RBL),RBL 01.21.007,2022-08-24,PASSED
,,,Sample 12,mGapdh,22.308,,,,,,,
RBL 01.21.007,Sjrb 153 P0 (Rbl),Cells,Sample 13,hGAPDH,17.909,0.8723756636952603,-0.13004680058603774,NM_8.22.20,,,,
,,,Sample 13,mGapdh,20.529,,,,,,,
RBL 01.21.007,Sjrb 153 P1 (Rbl),Cells,Sample 14,hGAPDH,18.856,0.9753271608131177,0.06793684771753405,NM_8.22.20,SJRB 153 p3 (RBL),RBL 01.21.007,2022-02-09,PASSED
,,,Sample 14,mGapdh,19.333,,,,,,,
RBL 01.21.007,Sjrb 153 S7P3T,Tumor,Sample 38,hGAPDH,21.484,0.908568045,-0.06,NM_8.22.35,,,,
,,,Sample 38,mGapdh,23.646, , ,,,,,
RBL 01.22.009,Sjrb 134 T,Tumor,Sample 15,hGAPDH,18.605,0.9338453044220248,-0.0118359530345675,NM_8.22.20,,,,
,,,Sample 15,mGapdh,19.923,,,,,,,
