Experiment #,Sample Name,Type,Sample,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
RMS 01.22.095,Mast 153 S7P3T (B),Tumor,Sample 36,16.09,0.73722795,-0.39,NM_08.23.12,,,,
 ,,,Sample 36,21.825, , ,,,,,
RMS 01.21.036,Mast 213F P1 (Bf),Cells,Sample 24,21.715,0.732501265,-0.399,,,,,
 ,,,Sample 24,29.645, , ,,,,,
RMS 01.21.086,Mast 545 P1 (Gf),Cells,Sample 26,17.529,0.753287495,-0.359,,,,,
 ,,,Sample 26,23.27, , ,,,,,
RMS 01.21.111,Mast 213H P1 (Gf),Cells,Sample 25,16.751,0.570654766,-0.71,,,,,
 ,,,Sample 25,29.354, , ,,,,,
RMS 01.22.121,Mast 441 T (Gf),Tumor,Sample 20,16.73,0.695229388,-0.471,,,,,
 ,,,Sample 20,24.064, , ,,,,,
RMS 01.22.121,Mast 441 S7 (Gf),Organoids,Sample 21,16.436,0.611981979,-0.631,,,,,
 ,,,Sample 21,26.857, , ,,,,,
RMS 01.22.121,Mast 441 P1 (Gf),Cells,Sample 22,16.357,0.600852221,-0.652,,,,,
 ,,,Sample 22,27.223, , ,,,,,
RMS 01.22.122,Mast 139 P1 (B),Cells,Sample 23,17.439,0.507065597,-0.833,,,,,
 ,,,Sample 23,34.392, , ,,,,,
RMS 01.23.124,Mast 421 T,Tumor,Sample 16,15.387,0.7141133336427344,-0.43439743530243363,NM_08.23.17,,,,
,,,Sample 16,21.547,,,,,,,
RMS 01.23.124,Mast 421 S7,Organoids,Sample 17,14.976,0.6056537388280018,-0.6429735791769196,NM_08.23.17,,,,
,,,Sample 17,24.727,,,,,,,
RMS 01.23.124,Mast 421 P1,Cells,Sample 18,16.03,0.6894327125715023,-0.4818601681317262,NM_08.23.17,,,,
,,,Sample 18,23.251,,,,,,,
RMS 01.23.123,Mast 441 T,Tumor,Sample 19,16.488,0.6834120865456353,-0.4934382951045473,NM_08.23.17,,,,
,,,Sample 19,24.126,,,,,,,
RMS 01.23.123,Mast 441 P1,Cells,Sample 20,15.279,0.6237344872632267,-0.6082029091091794,NM_08.23.17,,,,
,,,Sample 20,24.496,,,,,,,
RMS 01.22.090,Mast 35 T (Bf),Tumor,Sample 1,15.342,0.901516042,-0.074,,,,,
 ,,,Sample 1,17.018, , ,,,,,
RMS 01.22.090,Mast 35 S7 (Bf),Organoids,Sample 2,16.67,0.735657546,-0.393,,,,,
 ,,,Sample 2,22.66, , ,,,,,
RMS 01.22.090,Mast 35 P1 (Bf),Cells,Sample 3,17.413,0.781412673,-0.305,,,,,
 ,,,Sample 3,22.284, , ,,,,,
RMS 01.22.092,Mast 421 T (G),Organoids,Sample 4,17.052,0.804605294,-0.26,,,,,
 ,,,Sample 4,21.193, , ,,,,,
RMS 01.22.092,Mast 421 P1 (G),Cells,Sample 6,17.878,0.843301887,-0.186,,,,,
 ,,,Sample 6,21.2, , ,,,,,
RMS 01.22.088,Mast 410 T (Gf),Tumor,Sample 7,17.035,0.733887644,-0.396,,,,,
 ,,,Sample 7,23.212, , ,,,,,
RMS 01.22.088,Mast 410 S7 (Gf),Organoids,Sample 8,16.205,0.75650063,-0.353,,,,,
