Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
WT 01.21.001,Mast 593B T,Tumor,WT Sample 1,hGAPDH,17.748,0.8181441017839857,-0.23433826580002745,NM_08.22.21/22,,,,
,,,WT Sample 1,mGapdh,21.693,,,,,,,
WT 01.21.001,Mast 593B S7 (Wt),Spheroids,WT Sample 2,hGAPDH,18.376,0.7453254917866559,-0.37437405425643094,NM_08.22.21/22,MAST 593B S7 (WT-long),WT 01.21.001,2022-08-24,PASSED
,,,WT Sample 2,mGapdh,24.655,,,,,,,
WT 01.21.001,Mast 593B P1 (Wt),Cells,WT Sample 3,hGAPDH,17.787,0.6592661230541141,-0.5398728402805496,NM_08.22.21/22,MAST 593B p3 (WT),WT 01.21.001,2022-01-24,PASSED
,,,WT Sample 3,mGapdh,26.98,,,,,,,
WT 01.22.003,Mast 562 T,Tumor,WT Sample 4,hGAPDH,18.232,0.9209476183260089,-0.03663919552690584,NM_08.22.21/22,,,,
,,,WT Sample 4,mGapdh,19.797,,,,,,,
WT 01.22.003,Mast 562 S7 (Wt),Spheroids,WT Sample 5,hGAPDH,18.328,0.8869531552458381,-0.10201316298877285,NM_08.22.21/22,MAST 562 S7 (WT-long),WT 01.21.003,2022-08-24,PASSED
,,,WT Sample 5,mGapdh,20.664,,,,,,,
WT 01.22.003,Mast 562 P1 (Wt),Cells,WT Sample 6,hGAPDH,19.771,1.1262318427798348,0.35813815919199005,NM_08.22.21/22,MAST 562 p1 (WT-long),WT 01.21.003,2022-08-24,PASSED
,,,WT Sample 6,mGapdh,17.555,,,,,,,
WT 01.22.005,Mast 579 T,Tumor,WT Sample 7,hGAPDH,17.791,0.8392772903104067,-0.19369751863383325,NM_08.22.21/22,,,,
,,,WT Sample 7,mGapdh,21.198,,,,,,,
WT 01.22.005,Mast 579 S7 (Wt),Spheroids,WT Sample 8,hGAPDH,18.163,1.0644045944678857,0.23923960474593414,NM_08.22.21/22,MAST 579 S7 (WT),WT 01.22.005,2022-07-11,PASSED
,,,WT Sample 8,mGapdh,17.064,,,,,,,
WT 01.22.005,Mast 579 P1 (Wt),Cells,Sample 36,hGAPDH,26.275,1.421269,0.9255173076923076,NM_8.22.35,,,,
,,,Sample 36,mGapdh,18.487,, ,,,,,
WT 01.22.005,Mast 579 S7P3T,Tumor,Sample 7,hGAPDH,36.62,2.157163054,2.341,NM_8.23.11,,,,
 ,,,Sample 7,mGapdh,16.976, , ,,,,,
WT 01.22.006,Mast 579 T,Tumor,Sample 21,hGAPDH,29.554,1.691312808,1.445,NM_8.22.35,MAST 579 - T,WT 01.22.006,2022-07-11,"FAILED
Note: MJ plans to keep testing this line to confirm result"
,,,Sample 21,mGapdh,17.474, , ,,,,,
WT 01.22.006,Mast 579 S7,Organoids,Sample 22,hGAPDH,27.597,1.549087847,1.171,NM_8.22.35,,,,
,,,Sample 22,mGapdh,17.815, , ,,,,,
WT 01.22.007,Mast 542B T,Tumor,Sample 23,hGAPDH,19.216,0.968694863,0.055,NM_8.22.35,,,,
,,,Sample 23,mGapdh,19.837, , ,,,,,
WT 01.22.007,Mast 542B S7,Organoids,Sample 24,hGAPDH,18.333,0.81022672,-0.25,NM_8.22.35,MAST 542B S7 (WT),WT 01.22.007,2022-08-24,PASSED
,,,Sample 24,mGapdh,22.627, , ,,,,,
WT 01.22.007,Mast 542B P1,Cells,Sample 25,hGAPDH,25.489,1.01675376,0.148,NM_8.22.35,,,,
,,,Sample 25,mGapdh,25.069, , ,,,,,
WT 01.22.008,Mast 542B T,Tumor,Sample 26,hGAPDH,18.067,0.772985924,-0.321,NM_8.22.35,,,,
,,,Sample 26,mGapdh,23.373, , ,,,,,
WT 01.22.008,Mast 542B S7,Organoids,Sample 27,hGAPDH,19.745,0.850015067,-0.173,NM_8.22.35,MAST 542B S7 (WT),WT 01.22.008,2022-08-24,PASSED
,,,Sample 27,mGapdh,23.229, , ,,,,,
WT 01.22.008,Mast 542B P1,Cells,Sample 28,hGAPDH,17.51,0.696832219,-0.468,NM_8.22.35,,,,
,,,Sample 28,mGapdh,25.128, , ,,,,,
WT 01.22.009,Mast 506A T,Tumor,Sample 19,hGAPDH,18.934,0.9054564583233705,-0.06642988783967198,NM_08.22.24,,,,
,,,Sample 19,mGapdh,20.911,,,,,,,
WT 01.22.011,Mast 223B T,Tumor,Sample 29,hGAPDH,17.75,0.884404584,-0.107,NM_8.22.35,,,,
,,,Sample 29,mGapdh,20.07, , ,,,,,
WT 01.22.011,Mast 223B S7,Organoids,Sample 30,hGAPDH,18.693,0.669160551,-0.521,NM_8.22.35,MAST 223B S7 (WT),WT 01.22.011,2022-08-24,PASSED
,,,Sample 30,mGapdh,27.935, , ,,,,,
WT 01.22.012,Mast 223B T,Tumor,Sample 17,hGAPDH,16.99,0.75726511,-0.351,NM_8.22.64,,,,
 ,,,Sample 17,mGapdh,22.436, , ,,,,,
WT 01.22.012,Mast 223B S7,Organoids,Sample 18,hGAPDH,16.886,0.723510005,-0.416,NM_8.22.64,MAST 223B S7 (WT)  - PASSED,WT 01.23.012 ,2023-02-09,PASSED
 ,,,Sample 18,mGapdh,23.339, , ,,,,,
WT 01.22.012,Mast 223B P1,Cells,Sample 19,hGAPDH,16.405,0.639097744,-0.579,NM_8.22.64,,,,
 ,,,Sample 19,mGapdh,25.669, , ,,,,,
WT 01.23.012,Mast 223B P3,Cells,Sample 9,hGAPDH,16.415,0.57423214160778,-0.7033997276773459,NM_08.23.31,,,,
,,,Sample 9,mGapdh,28.586,,,,,,,
WT 01.22.013,Mast 253 T,Tumor,Sample 1,hGAPDH,18.538,1.046457804,0.205,NM_8.22.54,,,,
 ,,,Sample 1,mGapdh,17.715, , ,,,,,
WT 01.22.013,Mast 253 S7,Organoids,Sample 2,hGAPDH,20.387,0.967859856,0.054,NM_8.22.54,MAST 253 S7 (Wtshort) - PASSED,WT 01.22.013,2023-01-10,PASSED
 ,,,Sample 2,mGapdh,21.064, , ,,,,,
WT 01.22.013,Mast 253 P1,Cells,Sample 3,hGAPDH,17.959,1.000947497,0.117,NM_8.22.54,,,,
 ,,,Sample 3,mGapdh,17.942, , ,,,,,
WT 01.23.014,Mast 253 T,Tumor,Sample 23,hGAPDH,17.348,1.007491724258087,0.12979177741939812,NM_08.23.20,,,,
,,,Sample 23,mGapdh,17.219,,,,,,,
WT 01.23.014,Mast 253 T Human,Cells,Sample 24,hGAPDH,17.002,0.6679237870752308,-0.5232234863937868,NM_08.23.20,MAST 253 S7 (WT) - PASSED,WT 01.23.014 ,2023-02-23,PASSED
,,,Sample 24,mGapdh,25.455,,,,,,,
WT 01.23.014,Mast 253 S7,Organoids,Sample 25,hGAPDH,19.021,0.6361964010970634,-0.5842376901979548,NM_08.23.20,,,,
,,,Sample 25,mGapdh,29.898,,,,,,,
WT 01.23.014,Mast 253 P1,Cells,Sample 26,hGAPDH,16.714,0.6408988074696115,-0.5751946010199778,NM_08.23.20,,,,
,,,Sample 26,mGapdh,26.079,,,,,,,
