lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DYE2476,45629,10x Wildtype Mouse Retina (DYE2476),Mellisa Clemons,MRC_1-24-73 Thunderdome,840980,NA,scRNA,Retina,NA,Mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2477,45629,PARSE Wildtype Mouse Retina (DYE2477),Mellisa Clemons,MRC_1-24-73 Thunderdome,840978,NA,scRNA,Retina,NA,Mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2478,45629,PARSE Wildtype Mouse Retina (DYE2478),Mellisa Clemons,MRC_1-24-73 Thunderdome,840978,NA,scRNA,Retina,NA,Mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2479,45629,MERTK K619M Clone 1D6,Madison Parks,MP 01.24.053,840985,3243949,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2480,45629,MERTK K621I Clone 1H8,Madison Parks,MP 01.24.053,840985,3243950,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2481,45629,MERTK L564S Clone 3F1,Madison Parks,MP 01.24.053,840985,3243951,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2482,45629,MERTK R629W Clone 1C8,Madison Parks,MP 01.24.053,840985,3243952,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2483,45629,MERTK K666N Clone 2E3,Madison Parks,MP 01.24.053,840985,3243953,Powerplex,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2484,45631,MERTK K619M Clone 1D6 (1),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2485,45631,MERTK K619M Clone 1D6 (2),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2486,45631,MERTK K621I Clone 1H8 (1),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2487,45631,MERTK K621I Clone 1H8 (2),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2488,45631,MERTK L564S Clone 3F1 (1),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2489,45631,MERTK L564S Clone 3F1 (2),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2490,45631,MERTK R629W Clone 1C8 (1),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2491,45631,MERTK R629W Clone 1C8 (2),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2492,45631,MERTK K666N Clone 2E3 (1),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2493,45631,MERTK K666N Clone 2E3 (2),Madison Parks,MP 01.24.054,841128,3245600,RNA-seq Total Stranded,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2494,45639,"DL6-14-24 Chomp-F C-TxRBCX706F_12m_NR_12/10/24_F_dual index plate TT G1: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250815,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2495,45639,"DL6-14-24 Chomp-F C-TxRBCX629F_12m_NR_12/10/24_F_dual index plate TT G2: R2- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250816,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2496,45639,"DL6-14-24 Falco-F F-TxRBCX700F_12m_NR_12/10/24_F_dual index plate TT G3: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250817,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2497,45639,"DL6-14-24 Falco-F F-TxRBCX757F_12m_NR_12/10/24_M_dual index plate TT G4: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250818,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2498,45639,"DL6-14-24 Olimar-F O-TxRBCX710F_12m_NR_12/10/24_F_dual index plate TT G5: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250819,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2499,45639,"DL6-14-24 Olimar-F O-TxRBCXRLW4784F_12m_NR_12/10/24_M_dual index plate TT G6: R1- 28cyc, i7-10cyc, i5-10cyc, R2-90 cyc, 250000000 reads",Danielle Little,DL6-14-24,841749,3250820,scRNA,retina,NA,mouse,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
